Unnamed: 0,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
12,1073,521,476,0.8536665439605713,YOLO,1430,458,0.3,LK,"[-2895.9696101660684, -483.8990218055801, 5649.571004545855]","[1040.1595207726186, 937.0616102563102]",5.7841863939304385,"[2848.5113526262908, 932.6683827111075]",5.59358964577095,False
13,1074,550,483,0.6372686624526978,YOLO,1334,481,0.7161812353777322,BG/YOLO,"[-3265.19925766568, -424.83172460556403, 6867.203493050073]","[1104.6250429437412, 975.9319336424094]",3.8565552929748708,"[2663.469593818389, 951.2466152715399]",5.235912118283558,False
14,1075,576,490,0.4,LK,1333,482,0.4,LK,"[-2917.690539534164, -381.3166080657949, 6540.622731926167]","[1155.6619105616214, 981.7556974865145]",0.43605172718071744,"[2660.452421574973, 964.0249642375779]",0.5207250201942766,False
15,1076,604,500,0.7514632672123474,BG/YOLO,1333,482,0.3,LK,"[-2576.9053873850107, -332.17615741621154, 6213.744579310359]","[1210.1498811064037, 989.6666152310929]",4.134668697508202,"[2659.3287503872602, 976.3824067196863]",4.35944959535856,False
17,1078,654,515,0.6974915266036987,YOLO,1218,515,0.5982335805892944,YOLO,"[-2578.327384075602, -181.66390421813938, 7219.5544315313455]","[1310.1398072039933, 1035.901437239148]",2.474419244683976,"[2432.9149463159406, 1023.3861821161812]",3.2196793368104495,False
18,1079,677,524,0.6399151682853699,YOLO,1218,514,0.4,LK,"[-2321.755540246695, -136.9469226390787, 7020.984433641719]","[1356.059660397147, 1045.1455892981508]",1.301381927340978,"[2433.2764919660754, 1032.0127943355524]",1.5641665823790671,False
19,1080,676,524,0.4,LK,1169,531,0.6998469233512878,YOLO,"[-2517.6691498364653, -93.14620334551074, 7576.765270565688]","[1353.281007667168, 1056.9295036796902]",4.057958635854204,"[2335.444183855518, 1050.4837167087883]",5.6044517588792395,False
20,1081,676,524,0.3,LK,1168,530,0.4,LK,"[-2520.382253007318, -97.06416853435847, 7586.109353165813]","[1353.3707012344867, 1056.1103430104715]",3.6816070132926884,"[2333.5678510877246, 1049.5629307382776]",5.096344387705386,False
29,1102,983,602,0.6213742261987902,BG,808,616,0.7935455912192155,BG,"[192.43345237475376, 764.4585271060035, 9545.192244507401]","[1965.3273004949579, 1207.8814367661087]",2.3287846214248895,"[1615.4885098464147, 1226.8660332450781]",3.075525448548394,False
30,1103,988,596,0.6108759556927862,BG,800,608,0.787644612766407,BG,"[249.8550116256976, 693.4077852777336, 9602.305305752376]","[1975.5036329332247, 1195.012571636968]",1.8184747531357202,"[1599.7423386093371, 1211.996528017024]",2.4073154305261806,False
31,1104,994,590,0.8202020201250877,BG,792,601,0.7720476897413296,BG,"[318.1910784034337, 627.0252599782725, 9659.017544212136]","[1987.524194273853, 1183.089967434656]",1.8689044827109824,"[1583.8168205838438, 1197.9146429425243]",2.47620609180167,False
32,1105,999,585,0.7748298965014045,BG,784,595,0.6867752159605119,BG,"[376.38157058263795, 570.2996712074287, 9718.371031473382]","[1997.5727555613137, 1172.9045936548755]",1.7649185413586401,"[1567.9329619850232, 1186.1613762641869]",2.3440191750744077,False
