frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
1163,1667,378,0.6177759170532227,116,288,0.3,"[5391.379717820942, -1047.0915411502908, 6645.163455435596]","[3336.531067786427, 781.4384844133842]",9.919812839710795,"[275.4409010383852, 548.3975584141469]",22.654683390371105,False
1164,1622,381,0.8009806871414185,348,308,0.8567474484443665,"[4628.62975682227, -1062.2506092601918, 6352.538633542061]","[3198.2804481548965, 766.1560964177154]",13.942381450814592,"[617.8961080745315, 621.7255614362874]",23.86708033328896,False
1165,1578,385,0.8378750681877136,414,313,0.8341430425643921,"[4663.612955067848, -1062.6510450985154, 6844.799313363629]","[3119.2222488364177, 785.1186678903389]",12.673012692259393,"[760.4520285684994, 608.9734732016731]",24.613592036717254,False
1166,1540,388,0.5955636501312256,471,319,0.519464910030365,"[4564.649953079523, -1061.655752482347, 7109.990408615837]","[3053.4687795535483, 794.5157916299006]",10.32996618044485,"[895.2795617878743, 612.146850878446]",20.890738722204215,False
1167,1539,388,0.4,471,319,0.4,"[4551.706825305585, -1062.1467741497804, 7098.688282964699]","[3052.129441976525, 794.0294865140586]",9.96302554155993,"[896.7925864958612, 613.2360687762089]",20.02006611840447,False
1168,1539,388,0.3,584,334,0.8516761660575867,"[5259.5054511174085, -1048.1945740871488, 8290.380859735324]","[3040.7725389671446, 830.7759679216608]",29.912500622104144,"[1062.6223122939039, 504.90044224022216]",101.91475572796381,True
1170,1400,404,0.7307498455047607,548,329,0.4,"[3251.8243467762227, -1042.5156250309556, 6451.533543360891]","[2822.82100792753, 775.0687722205013]",18.351079460842577,"[1126.9236011636972, 705.3765323604154]",23.533490533096106,False
1171,1399,404,0.4,548,329,0.3,"[3240.828468343667, -1042.9460574826664, 6441.979680726141]","[2821.2171302851057, 774.5831641880847]",18.56862314409829,"[1127.2364222634017, 705.7839619325836]",23.708039112710182,False
1172,1399,404,0.3,761,359,0.7907808423042297,"[3959.2791446337087, -1004.9364145434198, 8222.376957541559]","[2785.182606137161, 837.4553030466994]",13.951295725082998,"[1505.4899187618146, 661.2655332936339]",31.490966077200437,False
1203,830,576,0.7165795723721337,1426,578,0.3,"[-2337.2735505974333, 896.4163390673825, 12092.893807845105]","[1657.0688396937448, 1148.5737597389398]",3.4179263817631163,"[2858.6069048535414, 1167.3734120638155]",5.03339625052141,False
1290,1600,167,0.4,117,319,0.4880257844924927,"[4514.525891786429, -1751.7205568231582, 5485.079496661886]","[3356.143991513624, 525.0785798814106]",84.91445181759389,"[415.7432185335761, 383.90301260614757]",111.09070796430078,True
1291,1600,167,0.3,78,322,0.7635704874992371,"[4788.4579849548345, -1790.5269891457508, 5832.744341093811]","[3352.6428241715876, 544.6991036990727]",94.73204119484257,"[373.2492750092669, 316.4995052123234]",146.07273074348967,True
1292,1217,510,0.6504563104738691,78,322,0.4,"[-7656.545586725971, -1922.1246316269783, -23455.734931422172]","[2525.8915892295463, 1160.9637937549014]",-245.56004188154057,"[103.53999809016067, 794.3513154194294]",-227.0354733533928,True
1293,1224,507,0.741141639568941,78,322,0.3,"[-8485.677790810281, -1967.272082366771, -25372.20115930418]","[2539.3034161022965, 1153.9754083685436]",-263.845618300753,"[102.20321292007591, 796.7197367674506]",-249.95211822600987,True
1411,1793,409,0.8543787002563477,283,451,0.3857709467411041,"[2579.900191930771, -343.22549037800485, 2737.0730699082824]","[3555.955104482186, 832.418020468109]",0.5670747840715219,"[540.6887327913515, 906.3895189901814]",0.23260542318954894,False
