frame_no,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
1161,517,410,0.5892741680145264,1255,364,0.4,"[-4112.092348441747, -1139.5679253859057, 8105.360681721724]","[1049.3110818252887, 847.2865247154817]",13.947244274134366,"[2529.0701995383865, 678.6799208178638]",29.25528967082783,False
1162,482,407,0.7502239346504211,1255,364,0.3,"[-4609.008576576217, -1142.1441135354476, 8471.644430655364]","[985.5425527590824, 856.7223753312724]",23.324217914096398,"[2551.8912732245913, 628.3695735542146]",60.04179575578808,True
1164,63,503,0.8273908495903015,1463,337,0.7811689972877502,"[-24352.91823958794, 1141.7871942564336, 26803.525712634142]","[352.5328303623115, 1146.6229811982641]",398.74514473429434,"[2618.3012071162507, 852.7510704140592]",590.9197831177478,True
1165,108,507,0.7024672627449036,1532,329,0.5614540576934814,"[-9929.904134783572, -153.92619098684145, 11737.36489463676]","[461.17782567289186, 1055.5887437819772]",171.22072655341574,"[1787.5857901786633, 847.3153439774427]",951.7146839129133,True
1166,107,507,0.4,1598,321,0.8104907870292664,"[-6212.459814068185, -548.1204175630495, 7299.8713715929025]","[452.44481217208164, 954.3264851422701]",105.34134002065097,"[3973.0151463985812, 822.2396801888797]",366.1147363593483,True
1167,147,503,0.3,1673,314,0.8171833157539368,"[-5389.737662832698, -667.6589434896266, 6294.379659895524]","[443.34364927296224, 903.6955632374763]",69.51571256520417,"[3641.6549418376553, 812.0941424027882]",137.4385612687723,True
1168,238,388,0.7788053750991821,1748,307,0.7726454138755798,"[-5015.031986680316, -1156.6887816803628, 6020.805689530072]","[483.85315879293637, 763.1014622416453]",6.875554471780932,"[3507.827325591347, 638.2709108654243]",10.853935682313008,False
1169,192,385,0.7879896759986877,1751,307,0.4,"[-4841.537324377535, -1152.4024027488804, 5546.210066521868]","[414.3998456543437, 737.5021507687209]",15.967904294928394,"[3536.859168431084, 661.9673830121986]",21.651565605748935,False
1170,142,384,0.8269013166427612,1751,307,0.3,"[-4688.913409981028, -1141.403170397, 5134.139324252307]","[344.35392286916436, 713.7529802227698]",24.81218534250205,"[3557.7406876571577, 682.4117216623547]",29.488774476604657,True
1203,876,533,0.4,1880,502,0.7117863297462463,"[935.0732999227789, 189.20627117550063, -9099.95860360368]","[1751.8767592155823, 1043.0432570303417]",-12.754877096350668,"[3714.598605617645, 994.3230942659692]",-8.214899018334158,False
1204,876,533,0.3,1884,501,0.4,"[946.5480649119014, 182.90120616730096, -9215.760278054842]","[1751.9567540063576, 1044.5880793672507]",-12.048124658223957,"[3720.22003259222, 993.3064359163817]",-7.832223532336415,False
1297,792,310,0.8260898590087891,1323,384,0.3,"[-964.2131837209, -1360.9078892673965, 4771.509974499025]","[1579.3996271576675, 610.9762000730144]",3.78670152040507,"[2636.747618540224, 777.6694347151057]",2.3080972346932933,False
1298,832,322,0.8319839239120483,1260,406,0.6975484490394592,"[-778.2453810266351, -1294.9694672651988, 5294.723677511817]","[1675.0701016545077, 677.3785894136324]",10.630053641060343,"[2522.2928582085146, 793.2021688396084]",7.344146618990195,False
1299,869,334,0.8639390468597412,1260,406,0.4,"[-557.302909558878, -1247.3064710578517, 5136.342176078924]","[1741.898284174188, 680.2183196445708]",3.4571331710669946,"[2517.6539267978114, 807.614118370214]",2.2286214709063485,False
1300,868,339,0.4,1260,406,0.3,"[-568.7961398750563, -1232.3790133733803, 5151.1826630712985]","[1738.5665449165124, 686.0966039386448]",2.135867856567907,"[2516.847466631075, 810.1195797019582]",1.3814789227827935,False
1411,569,410,0.4,1451,458,0.764754056930542,"[-1870.2497003699805, -612.6819790493919, 4148.776654730708]","[1147.486398597967, 835.7122787994492]",3.8460835229459445,"[2899.05928417529, 909.9148423074658]",2.217783740972497,False
1412,569,410,0.3,1449,457,0.4,"[-1895.2559974336875, -621.5019908700745, 4203.771788323685]","[1147.3976905364802, 835.440790982198]",3.823999970401378,"[2895.0393809645548, 907.9334914409225]",2.246768666947852,False
