,frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method
198,1455,989,582,0.2,LK,1047,531,0.6244646112441403,BG
199,1456,989,582,0.2,LK,1054,527,0.4,LK
200,1457,989,582,0.2,LK,1062,525,0.62200198274154,BG/YOLO
201,1462,926,530,0.44676366448402405,YOLO,1101,516,0.607851746491901,BG
202,1463,925,529,0.4,LK,1108,514,0.4,LK
203,1464,925,528,0.3,LK,1116,514,0.646229180131302,BG
204,1465,924,528,0.2,LK,1122,513,0.6684962525031526,BG/YOLO
205,1466,924,527,0.2,LK,1131,513,0.6826054280430862,BG/YOLO
206,1467,924,527,0.2,LK,1138,513,0.6492428432764191,BG
207,1468,905,527,0.46598613262176514,YOLO,1146,513,0.6050135787949257,BG
208,1469,901,527,0.7132782936096191,YOLO,1152,513,0.4,LK
209,1470,1071,542,0.698733140133956,BG,1160,514,0.3,LK
210,1471,1071,542,0.4,LK,1167,515,0.2,LK
211,1472,1065,541,0.3,LK,1172,518,0.8133511543273926,YOLO
212,1473,1050,537,0.7722839969901619,BG,1180,519,0.7662242650985718,YOLO
213,1474,1043,535,0.7398388372977944,BG,1186,521,0.4,LK
214,1475,1037,534,0.6981317007977318,BG,1193,524,0.6464899778366089,YOLO
215,1476,1030,532,0.6063886036065611,BG,1194,526,0.4,LK
216,1477,1023,531,0.8198545354117052,BG,1206,529,0.6997220287444148,BG/YOLO
217,1478,1023,530,0.4,LK,1213,532,0.5554802417755127,YOLO
218,1479,1023,530,0.3,LK,1219,535,0.4,LK
219,1480,1022,530,0.2,LK,1226,538,0.3,LK
220,1481,1022,530,0.2,LK,1232,542,0.2,LK
221,1482,1022,530,0.2,LK,1238,545,0.2,LK
222,1483,1022,530,0.2,LK,1245,551,0.6090873832286587,BG
223,1484,1022,530,0.2,LK,883,535,0.6251822832777502,BG
224,1485,1022,530,0.2,LK,882,535,0.4,LK
225,1486,1022,530,0.2,LK,882,535,0.3,LK
226,1487,1022,530,0.2,LK,882,535,0.2,LK
227,1492,897,544,0.6928079131759692,BG,1187,530,0.7693835996589793,BG/YOLO
228,1493,897,544,0.4,LK,925,530,0.7689394011682371,BG
229,1494,908,540,0.8022132398263994,BG,1151,515,0.7169913973374974,BG
230,1495,907,539,0.4,LK,1132,507,0.7199351598231435,BG/YOLO
231,1496,907,539,0.3,LK,1113,500,0.7509800652037448,BG/YOLO
232,1497,907,539,0.2,LK,1093,492,0.6628468205908754,BG
233,1498,987,507,0.7162501283938985,BG,1073,485,0.7054342400499143,BG
234,1499,987,507,0.4,LK,1052,478,0.6039865464841186,BG/YOLO
235,1500,1020,495,0.6567593582786055,BG,1031,471,0.7001195680437446,BG/YOLO
236,1501,1019,494,0.4,LK,1009,464,0.6232666860090665,BG
237,1502,1037,490,0.8090594231490545,BG,987,458,0.683901309967041,YOLO
238,1503,1074,479,0.4965830147266388,YOLO,964,451,0.6790010333061218,YOLO
239,1504,1071,481,0.4,LK,963,450,0.4,LK
240,1505,1112,466,0.6651055664695402,BG,915,438,0.6190778548571121,BG
241,1506,1090,490,0.6380493753606354,BG,894,434,0.521191680698999,BG/YOLO
242,1507,1102,487,0.4,LK,893,433,0.4,LK
243,1508,1176,450,0.6287151282613186,BG,839,419,0.8129080533981323,YOLO
244,1509,1175,449,0.4,LK,839,416,0.4,LK
245,1510,1175,449,0.3,LK,783,408,0.8030882477760315,YOLO
246,1511,1175,449,0.2,LK,753,403,0.8018956780433655,YOLO
247,1512,1266,431,0.7217655777931213,YOLO,750,402,0.4,LK
248,1513,1266,431,0.4,LK,750,403,0.3,LK
249,1514,1317,422,0.7993046641349792,YOLO,658,388,0.7608632445335388,YOLO
250,1515,1317,422,0.4,LK,625,383,0.751011848449707,YOLO
251,1516,1219,466,0.723401060657387,BG,590,380,0.8506160378456116,YOLO
252,1517,1397,411,0.6718891263008118,YOLO,554,375,0.8320454359054565,YOLO
253,1518,1426,407,0.7909796833992004,YOLO,517,371,0.5587648153305054,YOLO
254,1519,1456,404,0.7303218245506287,YOLO,478,367,0.4,LK
255,1520,1456,403,0.4,LK,437,365,0.6454157829284668,YOLO
256,1521,1456,403,0.3,LK,395,362,0.8380325436592102,YOLO
257,1522,1456,403,0.2,LK,353,360,0.8449075222015381,YOLO
258,1523,1456,403,0.2,LK,307,357,0.8356382250785828,YOLO
259,1524,1456,403,0.2,LK,259,356,0.8372892737388611,YOLO
260,1525,1659,388,0.5017409324645996,YOLO,209,354,0.7975722551345825,YOLO
261,1526,1697,388,0.7242199182510376,YOLO,209,354,0.4,LK
262,1527,1736,386,0.8070696592330933,YOLO,209,354,0.3,LK
263,1528,1778,385,0.8026478886604309,YOLO,51,353,0.5211696624755859,YOLO
264,1529,1822,385,0.799939751625061,YOLO,50,353,0.4,LK
265,1530,1866,385,0.8342494964599609,YOLO,50,353,0.3,LK
266,1531,1908,384,0.7117370367050171,YOLO,50,353,0.2,LK
267,1557,1878,454,0.7161389589309692,YOLO,857,205,0.2,LK
268,1558,1889,454,0.4,LK,857,205,0.2,LK
269,1559,1889,454,0.3,LK,857,205,0.2,LK
270,1560,1889,454,0.2,LK,857,205,0.2,LK
271,1561,1889,454,0.2,LK,857,205,0.2,LK
272,1636,1888,473,0.7345018982887268,YOLO,150,479,0.7189280986785889,YOLO
273,1637,1813,479,0.8598098754882812,YOLO,220,483,0.7439166903495789,YOLO
274,1638,1741,483,0.8544808626174927,YOLO,219,483,0.4,LK
275,1639,1754,475,0.4,LK,219,483,0.3,LK
276,1640,1754,475,0.3,LK,219,483,0.2,LK
277,1641,1552,500,0.8374247550964355,YOLO,446,500,0.6433759331703186,YOLO
278,1642,1498,506,0.8596177101135254,YOLO,497,503,0.8269669085816331,BG/YOLO
279,1643,1447,511,0.4,LK,534,509,0.4397749602794647,YOLO
280,1644,1447,511,0.3,LK,534,508,0.4,LK
281,1645,1354,524,0.8552461862564087,YOLO,534,508,0.3,LK
282,1646,1329,527,0.7677726792717166,BG/YOLO,653,523,0.5752363801002502,YOLO
283,1647,1268,525,0.4,LK,687,529,0.7045960426330566,YOLO
284,1648,1268,525,0.3,LK,687,528,0.4,LK
285,1649,1195,548,0.7054692506790161,YOLO,687,528,0.3,LK
286,1650,1160,555,0.7335191369056702,YOLO,687,528,0.2,LK
287,1651,1156,555,0.4,LK,807,548,0.6636510491371155,YOLO
288,1652,1157,555,0.3,LK,800,547,0.4,LK
289,1653,1069,577,0.5173134803771973,YOLO,791,547,0.3,LK
290,1654,1072,573,0.4,LK,785,547,0.2,LK
291,1655,1022,595,0.4856696128845215,YOLO,782,547,0.2,LK
292,1656,999,603,0.7577773463057365,BG/YOLO,782,546,0.2,LK
293,1657,977,612,0.7324116276169038,BG/YOLO,783,546,0.2,LK
294,1658,957,621,0.6156693360323962,BG,783,546,0.2,LK
295,1659,937,630,0.6974940084800209,BG,805,545,0.2,LK
296,1660,918,638,0.6242390195989936,BG,805,545,0.2,LK
297,1661,900,648,0.7112407684326172,YOLO,977,622,0.6489376425743103,YOLO
298,1662,899,648,0.4,LK,990,628,0.5972228300010214,BG/YOLO
299,1663,899,648,0.3,LK,999,627,0.5718871450206049,BG/YOLO
300,1664,899,648,0.2,LK,1006,618,0.7330564495538333,BG
301,1665,899,648,0.2,LK,1012,611,0.8149579967805102,BG
302,1666,832,646,0.6358705759048462,YOLO,1019,603,0.5768380129575905,BG/YOLO
303,1667,823,638,0.6000797904752748,BG,1025,597,0.8458333595003218,BG
304,1668,814,631,0.6454145791512389,BG,1032,590,0.7176767821513744,BG
305,1669,804,624,0.7240590633011028,BG/YOLO,1038,584,0.7140165558333539,BG
306,1670,795,618,0.6062568314641069,BG,1044,579,0.7217336593960894,BG
307,1671,787,612,0.7307784588797805,BG/YOLO,1048,578,0.4,LK
308,1672,778,606,0.6710150534240403,BG,1056,569,0.6085755693391723,BG
309,1673,772,606,0.4,LK,1061,564,0.6000798041201328,BG
310,1674,762,595,0.7217336593960894,BG,1067,559,0.6983601597633231,BG
311,1675,753,591,0.6943645604418299,BG,1071,558,0.4,LK
312,1676,745,587,0.6419596879556541,BG,1077,557,0.3,LK
313,1677,737,583,0.6710841485978906,BG,1082,555,0.2,LK
314,1678,729,578,0.6648704834459062,BG/YOLO,1089,546,0.6664141413516337,BG
315,1679,723,578,0.4,LK,1090,545,0.4,LK
316,1680,713,573,0.5175804612969114,BG/YOLO,1094,544,0.3,LK
