Unnamed: 0,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
10,1071,459,460,0.7807726860046387,YOLO,1431,459,0.8259002566337585,YOLO,"[-6183.277726296556, -349.8577697599428, 9452.512853869792]","[906.3559929724087, 909.5370452868557]",12.52385015458243,"[2820.592015264871, 991.9595733532698]",45.45054111214904,True
11,1072,490,468,0.5113481879234314,YOLO,1430,459,0.4,LK,"[-5065.7759086283, -318.313974119873, 8162.784812302079]","[960.9979377223643, 906.3424940599771]",20.78139784584196,"[2817.634233234212, 994.924741373557]",40.818949626054106,True
12,1073,521,476,0.8536665439605713,YOLO,1430,458,0.3,LK,"[-4245.034109141968, -297.1375248523787, 7218.206575503073]","[1013.9231929321016, 902.8489796210051]",27.55384470033732,"[2815.8935198863433, 995.4171175673613]",37.413633921495745,True
13,1074,550,483,0.6372686624526978,YOLO,1334,481,0.7161812353777322,BG/YOLO,"[-4214.6453315714525, -199.6670201555946, 7817.44714859635]","[1093.682514420754, 928.0106619838618]",21.23981790322769,"[2651.60598565796, 1031.8915052135644]",33.238507741366085,True
14,1075,576,490,0.4,LK,1333,482,0.4,LK,"[-3728.4278122876335, -168.06424656081867, 7341.182420456184]","[1144.5908021882963, 932.2749586674835]",23.976194209476734,"[2649.9884607662984, 1034.095083171101]",31.297916307827307,True
15,1076,604,500,0.7514632672123474,BG/YOLO,1333,482,0.3,LK,"[-3273.0077029007502, -130.3071679809118, 6891.562568035252]","[1198.2580643474655, 938.6928959706212]",27.94131770491776,"[2649.5623070952715, 1037.8067328694574]",30.97173393975967,True
17,1078,654,515,0.6974915266036987,YOLO,1218,515,0.5982335805892944,YOLO,"[-3143.965282991921, 60.75448956009741, 7720.505112447145]","[1308.5400636105662, 981.8172156313439]",24.234428641328726,"[2433.974150300786, 1096.0917706903413]",31.290729140966505,True
18,1079,677,524,0.6399151682853699,YOLO,1218,514,0.4,LK,"[-2835.298047119799, 98.98932306483573, 7474.911874494018]","[1354.0070697516721, 990.471303373598]",27.493665025189944,"[2433.876952515808, 1098.5768234725203]",32.3585594315175,True
19,1080,676,524,0.4,LK,1169,531,0.6998469233512878,YOLO,"[-3045.213562810025, 165.52831423507652, 8033.98418916089]","[1354.44202871587, 1002.3254018719416]",23.81628147620311,"[2340.015287362113, 1126.8835589429184]",32.1761511195203,True
20,1081,676,524,0.3,LK,1168,530,0.4,LK,"[-3050.428331217999, 161.73874475576258, 8046.089619831501]","[1354.3152418713028, 1001.5169760011017]",24.24301746812242,"[2337.9345651534977, 1126.166489615513]",32.85368382437833,True
29,1102,983,602,0.6213742261987902,BG,808,616,0.7935455912192155,BG,"[14.777976922162509, 1121.8526420510843, 9783.51304120419]","[1974.2903237581058, 1153.8130082026214]",30.857388556847273,"[1625.0797668142773, 1293.3899607264298]",37.48697586045434,True
30,1103,988,596,0.6108759556927862,BG,800,608,0.787644612766407,BG,"[72.33944733734823, 1048.9487876566104, 9844.252938214035]","[1983.7991677752177, 1140.746874220633]",31.562834922875336,"[1608.4977912949273, 1278.705885920411]",38.456152252334206,True
31,1104,994,590,0.8202020201250877,BG,792,601,0.7720476897413296,BG,"[142.32190753344702, 981.1069814963439, 9903.366731831811]","[1995.2377868386118, 1128.6902303642498]",31.669577011243685,"[1591.8223620747203, 1264.706285492373]",38.62821044763615,True
32,1105,999,585,0.7748298965014045,BG,784,595,0.6867752159605119,BG,"[201.62743992861704, 923.503145133547, 9965.13123579936]","[2004.7862699171474, 1118.391960813749]",31.95575247921922,"[1575.2982380888236, 1253.124718317003]",39.08067210195627,True
